distance_m,x_m,y_m,curvature_per_m
78.97276842128969,-37.678497938275584,-49.79476811947617,0.0006855796037332569
79.9724237177617,-38.24472799357694,-50.61859711549439,-0.0005774884851383266
80.97207901423373,-38.81089153914038,-51.442471827182125,-0.0011667987723629016
81.97173431070576,-39.377818551222745,-52.265821331061474,-0.000580146262123764
82.97138960717777,-39.9455032686636,-53.08864862648743,0.00139397018375348
83.9710449036498,-40.512885862698255,-53.91168424663147,0.004060249930998148
84.97070020012181,-41.078031847560254,-54.73625688510282,0.007317316081137993
85.97035549659384,-41.638489988709544,-55.564021867173615,0.0110022450499494
86.97001079306585,-42.19137221219281,-56.39686410573353,0.015928538466365372
87.96966608953788,-42.73306974251382,-57.23702004538809,0.02349345796553423
88.9693213860099,-43.25820727097943,-58.087615648692086,0.03564717789836676
89.96897668248192,-43.75809757083972,-58.953270182122694,0.051616302344492694
90.96863197895394,-44.21990127713277,-59.83978711585527,0.07053508188309525
91.96828727542596,-44.62681637075777,-60.75274014735212,0.09086106678639923
92.96794257189798,-44.9587937505368,-61.69543461217515,0.10868458233213905
93.96759786837,-45.1950615208081,-62.66644515794168,0.11262986489626381
94.96725316484202,-45.321884277782246,-63.65766914746353,0.09461181090075971
95.96690846131405,-45.34443976491033,-64.65681782692009,0.06345743548739892
96.96656375778608,-45.28784089584277,-65.65475802039217,0.037011763388192134
97.96621905425809,-45.18159110670789,-66.64871102302006,0.024082534408192177
98.96587435073012,-45.04540467545303,-67.6390299719442,0.019355614345229564
99.96552964720213,-44.88800281100239,-68.62620496564634,0.016656914836638028
100.96518494367416,-44.7128313546717,-69.61038489961031,0.01281220693761597
101.96484024014617,-44.52308523216779,-70.59186227270254,0.008513795089731732
102.9644955366182,-44.32284644808083,-71.5712554482103,0.0037092473776487774
103.96415083309022,-44.116563690810864,-72.54939519522884,-0.0036581289476854523
104.96380612956224,-43.910027746728225,-73.52748155342748,-0.015435658569509575
105.96346142603426,-43.712687966696116,-74.507457549128,-0.026493791139135896
106.96311672250629,-43.53626288970544,-75.49139880725248,-0.02762663780741909
107.9627720189783,-43.38709152305524,-76.47983686527422,-0.02138622347385329
108.96242731545033,-43.26226341682513,-77.47165303079792,-0.019515256119612252
109.96208261192234,-43.15728418131327,-78.46576849876563,-0.028642929671134944
110.96173790839437,-43.0757146679369,-79.46206438253944,-0.042357409664063164
111.9613932048664,-43.0296360997393,-80.46060204355035,-0.046471327486998705
112.96104850133841,-43.028634939587086,-81.46019204041094,-0.03861277950660687
113.96070379781044,-43.07056104056756,-82.4589251789844,-0.029195570830439724
114.96035909428245,-43.146084696508716,-83.45570021871683,-0.027887218911878175
115.96001439075448,-43.24962854991998,-84.44995779668697,-0.036730688790106054
116.9596696872265,-43.38490422143421,-85.4403834487029,-0.04957425525481191
117.95932498369852,-43.56270147428314,-86.4240363246701,-0.05629527917976362
118.95898028017054,-43.79275035730981,-87.39677698415446,-0.04807848688925705
119.95863557664256,-44.074032070667194,-88.3559808081221,-0.02530432629713737
120.95829087311458,-44.390809528391344,-89.3041001319964,0.0012571657746747779
121.9579461695866,-44.71872895162807,-90.24844172462706,0.01898417632130345
122.95760146605862,-45.036499025706334,-91.19623624367513,0.02396055258359387
123.95725676253065,-45.33335922170846,-92.15078136788165,0.020786819920786324
124.95691205900266,-45.60860551624513,-93.11178582290337,0.015819676920518642
125.95656735547469,-45.86623979981194,-94.07766531285884,0.013616820742922864
126.9562226519467,-46.109796304672585,-95.04719221666176,0.015243427228007776
127.95587794841873,-46.33952639273041,-96.02008677945382,0.019846148181385442
128.95553324489074,-46.55218611765516,-96.99685078475446,0.023988415831123145
129.9551885413628,-46.74334831095024,-97.97804440962489,0.022572467270869555
130.9548438378348,-46.91133417547306,-98.96347146247992,0.01411077344788781
131.95449913430681,-47.06092879171372,-99.9518657105567,-0.0007114337703571355
132.95415443077883,-47.20387315460697,-100.94124856443106,-0.01503926036245838
133.95380972725087,-47.35470871764419,-101.9294532785926,-0.02287440186979845
134.95346502372288,-47.52459711237091,-102.91455395883676,-0.023184736240468313
135.9531203201949,-47.71744250815454,-103.89541899340512,-0.017963969798922792
136.9527756166669,-47.93054590263721,-104.87208792028592,-0.011438421851668186
137.95243091313895,-48.15797776544338,-105.84552493617277,-0.006101786585085504
138.95208620961097,-48.393843239782676,-106.81695503597504,-0.002743565992812361
139.95174150608298,-48.63391540871645,-107.78735482141687,-0.001063896015245869
140.951396802555,-48.8757753244065,-108.75731071754983,-0.00034614314693076593
141.95105209902704,-49.1182881173414,-109.72710360883855,-9.270329071713205e-05
142.95070739549905,-49.36100424269275,-110.69684563324607,-4.398648027271169e-05
143.95036269197107,-49.60378466180336,-111.66657156346156,7.561699595504452e-07
144.9500179884431,-49.84657246619572,-112.63629564473476,8.285222518054902e-07
145.94967328491512,-50.089360451526524,-113.60601968070856,-9.808622110898023e-09
146.94932858138714,-50.33214835009088,-114.57574373840505,-1.559871889284835e-08
147.94898387785915,-50.5749362447813,-115.54546779707137,9.750775811716406e-11
148.9486391743312,-50.81772414110024,-116.51519185533,2.935587430795304e-10
149.9482944708032,-51.06051203750087,-117.48491591356816,-5.23194573871905e-14
150.94794976727522,-51.30329993387096,-118.45463997181399,-5.580702555399141e-12
151.94760506374723,-51.54608783023938,-119.42436403006025,-1.611823500566877e-13
152.94726036021927,-51.78887572660835,-120.39408808830638,2.2456726342835184e-13
153.9469156566913,-52.03166362297736,-121.36381214655246,-6.337064621396593e-13
154.9465709531633,-52.27445151934642,-122.33353620479855,-1.4827661282328344e-12
155.94622624963532,-52.51723941571546,-123.30326026304463,3.2285024213634925e-11
156.94588154610736,-52.76002731208113,-124.27298432129157,8.527619970830483e-11
157.94553684257937,-53.00281520844691,-125.24270837953847,-1.705256560548501e-09
158.9451921390514,-53.24560310499083,-126.21243243774077,-4.865887438974599e-09
159.9448474355234,-53.488391001577895,-127.18215649593225,9.024994236903189e-08
160.94450273199544,-53.731178888773925,-128.15188055647516,2.753554068444169e-07
161.94415802846746,-53.97396677108765,-129.1216046182405,-4.774946367604555e-06
162.94381332493947,-54.216755147916636,-130.09132855618628,-1.5478733502086262e-05
163.9434686214115,-54.45954395118184,-131.0610523873586,-9.712469220484856e-06
164.94312391788353,-54.70237076681193,-132.0307667006761,-0.00015435229229353623
165.94277921435554,-54.945275195599855,-133.00046157495143,-0.00041740167943910765
166.94243451082755,-55.18844508258907,-133.9700899108676,-0.0010360270653942795
167.9420898072996,-55.432301663309985,-134.93954575406667,-0.0020656928170073
168.9417451037716,-55.67764144578174,-135.9086272329326,-0.0033395521823067933
169.94140040024362,-55.92560685714963,-136.87704002827533,-0.004234721247600953
170.94105569671564,-56.17725415877878,-137.84450244540642,-0.003420646272762255
171.94071099318768,-56.432681250442634,-138.81097394932956,-0.0006673721482147889
172.9403662896597,-56.69018215372834,-139.77689526874423,0.003091624898361361
173.9400215861317,-56.94649400098286,-140.7431325636652,0.005299729746347403
174.93967688260372,-57.1986293204465,-141.7104676842587,0.0021883358426907865
175.93933217907576,-57.446887468806615,-142.6788056775592,-0.006747442583907156
176.93898747554778,-57.697088725409984,-143.64664255112405,-0.019660908578407334
177.9386427720198,-57.96001715475896,-144.61109140822842,-0.03142556947716724
178.93829806849183,-58.24761827770348,-145.56845891302058,-0.036725040751650125
179.93795336496385,-58.56796441201654,-146.51536320227956,-0.0346045677644356
180.93760866143586,-58.9222038186974,-147.45012113140973,-0.025958703783787836
181.93726395790787,-59.30474631308891,-148.3736710302018,-0.014502286246432792
182.93691925437992,-59.705933147318525,-149.28928603245117,-0.003825510547419739
