distance_m,x_m,y_m,curvature_per_m,gnss_x_filtered_m,gnss_y_filtered_m,fused_x_m,fused_y_m,official_reference_x_m,official_reference_y_m,official_reference_station_m,gps_speed_mps,corrected_imu_y_mps2,smoothed_corrected_imu_y_mps2,raw_imu_curvature_per_m,imu_curvature_per_m,fused_geometric_curvature_per_m,solver_complementary_curvature_per_m,applied_curvature_gain,gnss_heading_rad,fused_heading_rad,low_frequency_position_correction_x_m,low_frequency_position_correction_y_m
779.5,-40.15304145512764,-188.13984504848744,0.007610833448324792,-41.45247790180834,-192.24561901265054,-40.15304145512764,-188.13984504848744,-39.88770813308582,-187.88669983539438,801.8418579323525,16.390150903845495,2.8496908661255222,2.759289094001546,0.010271439209157374,0.014626610590231626,-0.001296980299098707,0.007610833448324792,1.4240079011704079,1.2101379087524549,7.508324740197247,28.473962071594155,-30.026426288229747
780.0,-39.97080318914736,-187.6344380250781,0.010002614503371834,-41.25938552741411,-191.71221265707592,-39.97080318914736,-187.6344380250781,-39.71578275981405,-187.37544771033734,802.3812443627982,16.206740169362224,3.9300809121275195,3.3319677138091635,0.012685554211665501,0.018064329428137217,-0.0033117077221836073,0.010002614503371834,1.4240079011704079,1.2152514331977973,7.507170451158405,28.46103908339704,-29.98504979475522
780.5,-39.78720184657851,-187.12761370900964,0.012123852753189461,-41.06629315301988,-191.1788063015013,-39.78720184657851,-187.12761370900964,-39.541553874953344,-186.86298965145005,802.9225164450218,16.02332943487895,5.010470958129517,3.807296546158573,0.014828976651011554,0.02111657991731195,-0.004787669853042397,0.012123852753189461,1.4240079011704079,1.2208816884701446,7.504764671077281,28.44820410936908,-29.94341651009661
781.0,-39.601281357803785,-186.61966228957678,0.013748232638441245,-40.87463864064601,-190.64511692908692,-39.601281357803785,-186.61966228957678,-39.36377899487862,-186.3497242950497,803.4656984514269,15.836572665973568,5.981639364759332,4.131978529562956,0.016475388352404675,0.023461083188675166,-0.004345441018705252,0.013748232638441245,1.4240079011704079,1.227151351516343,7.502001285268109,28.435458002302536,-29.90152737546922
781.5,-39.41360218456106,-186.11039138181866,0.014866206437936225,-40.703381834309326,-190.10741264131963,-39.41360218456106,-186.11039138181866,-39.18302221927209,-185.83546549362148,804.010805424049,15.602348598005012,5.4033747512170125,4.28813491814195,0.01761523686037649,0.025084236470164334,-0.002182908689537212,0.014866206437936225,1.4240079011704079,1.234144251687514,7.500052920260562,28.422801576465975,-29.859383360338224
782.0,-39.2244159966682,-185.5996933900599,0.01542666843725929,-40.53212502797264,-189.56970835355233,-39.2244159966682,-185.5996933900599,-38.99951140421345,-185.32010836427122,804.5578608640285,15.368124530036456,4.825110137674694,4.297851457817654,0.01819741331736309,0.025913260344788643,0.0006425341638899851,0.01542666843725929,1.4240079011704079,1.2416969621986413,7.499622481663762,28.41023558037746,-29.816985441741696
782.5,-39.03501956335859,-185.08712981423236,0.015619811521692045,-40.36086822163596,-189.03200406578503,-39.03501956335859,-185.08712981423236,-38.814730620346864,-184.80314199007756,805.1068585724552,15.1339004620679,4.246845524132375,4.217015400389689,0.018412104902198204,0.026218982857908642,0.005468642600515213,0.015619811521692045,1.4240079011704079,1.249917578484477,7.500748765985454,28.397760770581563,-29.77433468405894
783.0,-38.84573354325792,-184.57260882594414,0.015746688211623158,-40.189611415299275,-188.49429977801773,-38.84573354325792,-184.57260882594414,-38.62903412396472,-184.28445231027723,805.6577870220451,14.899676394099341,3.6685809105900566,4.120406656446381,0.018560360526642186,0.026430100038509825,0.009956173326058821,0.015746688211623158,1.4240079011704079,1.25889129615847,7.505596979462378,28.3853778404809,-29.73143213812661
783.5,-38.6601180385761,-184.05490908498086,0.016147046277138616,-40.01835460896259,-187.95659549025044,-38.6601180385761,-184.05490908498086,-38.446590331693336,-183.76259406602637,806.210621763168,14.665452326130785,3.090316297047738,4.0825463436127105,0.018981922612275895,0.027030407779286104,0.014387576388804085,0.016147046277138616,1.4240079011704079,1.2688292614014416,7.511679038128677,28.373087481688756,-29.688278960561068
784.0,-38.47595600893994,-183.53486900204774,0.017120704419762076,-39.85077001699446,-187.42120696643863,-38.47595600893994,-183.53486900204774,-38.26475589481468,-183.2385514707761,806.7653233236922,14.430447453486636,2.6380074411175984,4.1598847258369345,0.019976605841978926,0.02844684455754492,0.01920270794032908,0.017120704419762076,1.4240079011704079,1.2796872441178875,7.521436914043033,28.360890268981137,-29.644876355889462
784.5,-38.29939794826186,-183.01046563764896,0.018878679075595383,-39.71959977496888,-186.90878198195094,-38.29939794826186,-183.01046563764896,-38.090699637103924,-182.70995514290846,807.321844234303,14.187699978739161,3.434698936106258,4.379166983114428,0.02175542208343345,0.03097989294010641,0.020615955141530487,0.018878679075595383,1.4240079011704079,1.291592015179089,7.532893715996091,28.348786809254957,-29.601225566544386
785.0,-38.126198921503104,-182.483275505169,0.02145022930408225,-39.5884295329433,-186.39635699746322,-38.126198921503104,-182.483275505169,-37.9193167998622,-182.17868568675823,807.8801041278568,13.944952503991686,4.231390431094917,4.734680936632201,0.02434762695373168,0.0346712131568635,0.02224875331852408,0.02145022930408225,1.4240079011704079,1.3046550366629333,7.544286348644201,28.33677768699955,-29.55732787669222
785.5,-37.960696463352875,-181.95199556860047,0.024747638158723353,-39.457259290917726,-185.88393201297552,-37.960696463352875,-181.95199556860047,-37.75555215500837,-181.6432493353229,808.4400305063363,13.702205029244213,5.028081926083576,5.194209296457332,0.02766549988421748,0.0393958904249547,0.022203052058453337,0.024747638158723353,1.4240079011704079,1.3189685196002041,7.55761617130525,28.324863437450126,-29.51318461386496
786.0,-37.80076007740021,-181.41751519480192,0.028585291345375404,-39.32608904889214,-185.37150702848783,-37.80076007740021,-181.41751519480192,-37.59669703001161,-181.1047391021106,809.0015153910316,13.459457554496739,5.824773421072237,5.710688835303208,0.03152342393077309,0.0448896047493652,0.02121989526130614,0.028585291345375404,1.4240079011704079,1.3345522963451941,7.5690358005388685,28.313044549962186,-29.468797158375672
786.5,-37.64665782143943,-180.8798868508453,0.03273748881583616,-39.19491880686657,-184.85908204400013,-37.64665782143943,-180.8798868508453,-37.44282937552618,-180.563262720352,809.5644333821774,13.216710079749264,6.621464916060896,6.235375132784468,0.03569569644241391,0.05083095377177783,0.020092217705615596,0.03273748881583616,1.4240079011704079,1.351524928619645,7.58132267220014,28.301321477358066,-29.424166934885672
787.0,-37.49921337581982,-180.33911021585715,0.03697470358312075,-39.068615128080324,-184.350380036948,-37.49921337581982,-180.33911021585715,-37.29465750632051,-180.0188562300922,810.1286598338226,12.977279432448874,7.365209487669358,6.728440441631523,0.03995278886408141,0.05689308701624501,0.018276347333686913,0.03697470358312075,1.4240079011704079,1.3700529132765553,7.591542103150176,28.289694665824765,-29.379295398623796
787.5,-37.35553419302008,-179.7961740794201,0.0409321348142184,-38.99056918128608,-183.87859575570405,-37.35553419302008,-179.7961740794201,-37.1485097159441,-179.47270093143078,810.694033319529,12.770739053317893,7.583922674165947,7.164605109643011,0.04392989816391145,0.0625565220830213,0.01786294097961231,0.0409321348142184,1.4240079011704079,1.3902404145531466,7.601834545956789,28.278164526738205,-29.33418404700424
788.0,-37.218754897744596,-179.25050175028818,0.04470528685752874,-38.912523234491836,-183.40681147446008,-37.218754897744596,-179.25050175028818,-37.007810514586,-178.9241116839093,811.2603807746377,12.56419867418691,7.802635860662536,7.533434648976579,0.04772252728011121,0.0679572559106987,0.01660878298467304,0.04470528685752874,1.4240079011704079,1.4123216681409816,7.6116273582433065,28.266731447361767,-29.288834438691435
788.5,-37.085355433895735,-178.70327722227896,0.0482746308853365,-38.83447728769759,-182.93502719321614,-37.085355433895735,-178.70327722227896,-36.868164820733234,-178.37444814689812,811.827510822354,12.357658295055929,8.021349047159125,7.835813090940692,0.05131114472412587,0.07306747550525353,0.01723486392371685,0.0482746308853365,1.4240079011704079,1.4363446817174252,7.620538017538911,28.255395789462103,-29.24324815885463
789.0,-36.95805586931843,-178.15410828465156,0.05166328054449743,-38.75643134090335,-182.4632429119722,-36.95805586931843,-178.15410828465156,-36.732528565559114,-177.82318883306436,812.3952127440205,12.151117915924948,8.240062233655713,8.079221667632257,0.05471886156812339,0.07792009121605747,0.01872481344753862,0.05166328054449743,1.4240079011704079,1.4623407884423356,7.631053645707299,28.24415785475757,-29.197426827997106
789.5,-36.83605155128173,-177.6035487362771,0.054918839621941704,-38.6783853941091,-181.99145863072823,-36.83605155128173,-177.6035487362771,-36.599721177824286,-177.27089833186997,812.9632592529722,11.944577536793966,8.458775420152303,8.274071252785006,0.057993279495402596,0.0825828882162371,0.022399232728575393,0.054918839621941704,1.4240079011704079,1.490349918366582,7.641658430818047,28.233017906276423,-29.151372107390273
790.0,-36.72040700616037,-177.0516996932884,0.058056455310857145,-38.60634753503561,-181.52396386199538,-36.72040700616037,-177.0516996932884,-36.47077114409863,-176.71758195196406,813.5314058442789,11.74307201769196,8.658705128985918,8.432505903827506,0.061149541533516275,0.0870774302966752,0.026222753134620986,0.058056455310857145,1.4240079011704079,1.520718391064958,7.656321553214367,28.221976173090276,-29.10508570281004
790.5,-36.614681298172684,-176.49821794336546,0.06066522880491043,-38.59388697368812,-181.0990046845939,-36.614681298172684,-176.49821794336546,-36.34965900232727,-176.1626953319386,814.0993915648198,11.591493092357737,8.6723744346646,8.569216707737054,0.06377674708374682,0.09081859175820224,0.03389881173525303,0.06066522880491043,1.4240079011704079,1.55334915795317,7.671227798670198,28.211032978690813,-29.05856944434763
791.0,-36.51572652334975,-175.94421712177362,0.06336805977374646,-38.58142641234064,-180.67404550719237,-36.51572652334975,-175.94421712177362,-36.23249707730826,-175.60738214535277,814.6669399884468,11.439914167023517,8.686043740343285,8.702674775103057,0.06649779150926058,0.09469338051956952,0.04351673599929434,0.06336805977374646,1.4240079011704079,1.5881128669709172,7.694521537774259,28.200188518846005,-29.011825131364247
